t,y1,y2
85.1004,1.2322,0.2896
85.2004,1.2322,0.2696
85.3004,0.0115,0.2081
85.4004,-1.2092,0.1593
85.5004,-0.7785,0.1462
85.6004,-1.2092,0.1205
85.7004,-1.2092,0.0853
85.8004,-0.7785,0.0911
85.9004,0.0115,0.1202
86.0004,0.4422,0.1049
86.1004,0.0115,0.0879
86.2004,1.2322,0.0705
86.3004,2.4529,0.0604
86.4004,1.2322,0.0765
86.5004,-0.7785,0.121
86.6004,0.0115,0.175
86.7004,0.0115,0.1923
86.8004,0.0115,0.1779
86.9004,0.0115,0.1436
87.0004,0.0115,0.1329
87.1004,2.8836,0.1248
87.2004,-1.2092,0.107
87.3004,-1.2092,0.1368
87.4004,-1.2092,0.1108
87.5004,-1.2092,0.0663
87.6004,0.0115,0.0542
87.7004,-1.2092,0.0162
87.8004,-1.2092,0.0009
87.9004,-1.2092,-0.0031
88.0004,0.0115,0.0012
88.1004,1.2322,0.0123
88.2004,2.4529,0.0108
88.3004,0.0115,-0.0127
88.4004,-0.7785,-0.009
88.5004,-0.7785,-0.0063
88.6004,0.4422,-0.0402
88.7004,-0.7785,-0.0172
88.8004,-1.2092,0.0334
88.9004,-1.2092,0.0579
89.0004,-1.2092,0.0721
89.1004,1.2322,0.0786
89.2004,1.2322,0.0575
89.3004,0.0115,0.049
89.4004,0.0115,0.0428
89.5004,-0.7785,0.0516
89.6004,-1.2092,0.0775
89.7004,-1.2092,0.0756
89.8004,-0.7785,0.0407
